name;description;Столбец1
уроборос;вернувшийся в кольцо змей, кусающий себя за хвост. Один из древнейших символов, известных человечеству.;1524960000000
Раскряжевка;распиловка древесины перпендикулярно основному направлению волокон.;1525046400000
Форвардер;транспортное средство, осуществляющее сбор, подсортировку и доставку сортиментов от места заготовки до склада.;1525132800000
Скиддер;трелёвочный трактор, предназначеный для транспортировки поваленных деревьевот места заготовки к месту разделки либо на склад.;1525219200000
Харвестер;многооперационная лесосечная машина, предназначенная для валки, ​обрезки сучьев, раскряжевки и пакетирования сортиментов на лесосеке.;1525305600000
Сплог;блог (интернет-дневник), содержащий поисковый спам.;1525392000000
Лепидоптерология;наука о бабочках (раздел энтомологии, изучающий чешуекрылых), а также коллекционирование бабочек. Соответственно, люди, коллекционирующие и изучающие бабочек, называются лепидоптерологами.;1525478400000
Шредер;Шредер — устройство для измельчения частных или конфиденциальных документов в очень мелкие полоски или крошечные кусочки.;1525564800000
Флипкап и твисткап;названия крышек на картонных пакетах. Флипкап — прямоугольная крышечка, поднимая вертикально, аналогично тому, как раскрываются мобильные телефоны-раскладушки. Флипкап можно встретить на пакетах молока. Твисткап — отворачивающаяся крышка на пакетах с соками и нектарами.;1525651200000
Фэтбайк;велосипед на толстых покрышках c низким (от 0,2 до 2 атм.) давлением в камерах. Обладает повышенной проходимостью по различным типам рыхлых поверхностей (снег, песок, высокая трава и т.п.).;1525737600000
Тайтсы;спортивные облегающие штаны, выполненные из эластичной ткани и имеющие свойства компрессионного белья.;1525824000000
Сортимент;преимущественно в деревообрабатывающей промышленности​: вид, сорт, тип, размер каких-л. однородных изделий или ​материалов.;1525910400000
Финляндизация; (в политологии, c ~1960-х гг.) политика осторожного нейтралитета и мелких уступок, которой придерживается небольшая страна по отношению к могущественному соседу.;1525996800000
делистинг;Исключение ценных бумаг из котировального списка (списка торговли) фондовой биржи.;1526083200000
Каомодзи;пиктограммы, составленные из типографских знаков и схематически изображающие эмоции, жесты, мимику ориентируясь на образы, взятые из аниме и манги, одна из разновидностей эмотиконов.;1526169600000
Бирдекель;подставка под пивную кружку или бокал.;1526256000000
Декроттуар;скоба для очистки обуви от грязи и снега, располагающаяся у входа в дом.;1526342400000
лизиметр;Прибор или сооружение для определения количества просочившейся воды через тот или иной слой почвы. Используется для слежения за динамикой и характером поступления влаги в почву, изменением химического состава почвенных растворов, в том числе под воздействием различных факторов (минеральных и органических удобрений, методов и способов орошения, характера поступления атмосферных осадков, а также в зависимости от особенностей фитоценоза).;1526428800000
Моп;текстильная моечная насадка на швабру, плетение нитей которой позволяет и подметать, и мыть одновременно.;1526515200000
консилер;Маскирующее средство, корректор. Скрывает мелкие недостатки на лице (пигментные пятна, прыщики, покраснения, круги под глазами, мимические морщинки), не устраняя причины этих проблем кожи.;1526601600000
Тратта;письменный приказ одного лица (трассанта) другому лицу (трассату) уплатить определенную суммы денег третьему лицу, переводный вексель.;1526688000000
газгольдер;резервуар для хранения газообразных веществ, таких как природный газ, биогаз, сжиженный нефтяной газ, воздух и т.д.;1526774400000
Конволют;объединение под одним переплетом тематически однородных изданий и/или рукописей.;1526860800000
